Version.[Version Name],Location.[Location],Item.[Item],12W Accuracy,12W MAPE,4W Accuracy,4W MAPE,8W Accuracy,8W MAPE
Consensus_v1,DC-Dubai-UAE,NK-LEGGING-EPIC-BLK-S,60.01%,60.00%,72.52%,38.92%,82.38%,27.13%
Baseline_v2,DC-Laakdal-BE,NK-FREE-RN-PPL-8,54.24%,60.00%,72.39%,48.31%,80.36%,27.21%
Consensus_v1,DC-Memphis-TN,NK-VAPORFLY-GLD-8,81.70%,30.27%,86.37%,23.43%,77.26%,35.21%
Consensus_v2,DC-Tokyo-JP,NK-FREE-RN-BLK-13,62.13%,53.88%,75.18%,38.40%,76.81%,39.92%
Consensus_v1,DC-Johannesburg-ZA,NK-CORTEZ-GRY-11,72.88%,42.19%,94.90%,9.12%,78.89%,35.53%
Baseline_v1,DC-Laakdal-BE,NK-JORDAN-GRN-13,55.36%,60.00%,87.52%,20.05%,71.70%,49.95%
Consensus_v2,DC-Dubai-UAE,NK-ZOOM-PEGA-PPL-12,69.18%,40.30%,86.92%,17.86%,66.06%,53.68%
Consensus_v2,DC-Johannesburg-ZA,NK-VAPORFLY-GRN-7,50.80%,60.00%,82.42%,31.11%,63.58%,58.69%
Baseline_v1,DC-Dubai-UAE,NK-TEE-PRO-NVY-XL,78.21%,33.79%,87.77%,21.35%,78.61%,37.90%
Consensus_v2,DC-Sao-Paulo-BR,NK-REACT-OGR-9,52.71%,60.00%,80.16%,24.42%,62.83%,54.05%
Baseline_v1,DC-Laakdal-BE,NK-JORDAN-BLU-9,71.87%,40.09%,87.89%,18.87%,75.04%,44.57%
Consensus_v2,DC-Shanghai-CN,NK-VAPORFLY-RED-11,64.88%,60.00%,72.69%,47.48%,78.19%,38.91%
Baseline_v2,DC-Memphis-TN,NK-HUARACHE-BLU-12,75.26%,35.86%,87.39%,21.87%,69.96%,46.00%
Baseline_v1,DC-Johannesburg-ZA,NK-VAPORFLY-OGR-7,54.71%,60.00%,82.79%,23.43%,64.63%,46.00%
Consensus_v2,DC-Memphis-TN,NK-HOODIE-CLUB-GRY-S,59.58%,54.14%,82.11%,24.45%,82.76%,24.07%
Baseline_v2,DC-Johannesburg-ZA,NK-LEGGING-EPIC-BLK-S,55.44%,60.00%,80.41%,27.67%,69.86%,53.80%
OP_Plan_2025,DC-Johannesburg-ZA,NK-ALPHAFLY-BLU-7,59.68%,60.00%,91.89%,10.49%,64.15%,53.44%
Baseline_v1,DC-Sao-Paulo-BR,NK-SPORTS-BRA-INDY-WHT-S,55.58%,60.00%,89.95%,13.89%,70.10%,35.93%
Baseline_v2,DC-Laakdal-BE,NK-BLAZER-BLK-12,64.67%,57.76%,79.05%,35.48%,63.48%,52.99%
Baseline_v1,DC-Johannesburg-ZA,NK-ZOOM-PEGA-RED-7,76.88%,41.46%,89.87%,17.39%,70.16%,45.44%
Consensus_v2,DC-Sao-Paulo-BR,NK-SHORT-DRI-WHT-S,67.91%,51.74%,72.36%,41.83%,74.24%,41.05%
OP_Plan_2025,DC-Tokyo-JP,NK-METCON-NVY-13,74.40%,32.66%,91.78%,11.88%,70.53%,43.39%
Consensus_v2,DC-Sao-Paulo-BR,NK-AIR-MAX-WHT-9,77.83%,31.97%,90.81%,13.84%,81.14%,28.43%
Consensus_v2,DC-Laakdal-BE,NK-BLAZER-BLU-8,55.93%,60.00%,80.56%,31.05%,65.67%,52.95%
Consensus_v1,DC-Memphis-TN,NK-LEBRON-GLD-8,68.28%,40.79%,90.99%,12.35%,86.11%,24.76%
Baseline_v1,DC-Sao-Paulo-BR,NK-JORDAN-RED-9,60.80%,60.00%,92.56%,10.43%,80.97%,29.39%
Baseline_v1,DC-Shanghai-CN,NK-AIR-MAX-PPL-12,69.95%,46.88%,83.96%,24.27%,77.31%,37.46%
Baseline_v2,DC-Laakdal-BE,NK-LEBRON-NVY-13,53.00%,60.00%,89.26%,13.87%,73.92%,36.80%
Consensus_v2,DC-Portland-OR,NK-SOCK-PERF-3PK-RED,68.88%,37.47%,93.73%,9.82%,86.04%,23.34%
Baseline_v2,DC-Tokyo-JP,NK-LEBRON-GRN-9,74.62%,36.51%,83.21%,24.48%,77.52%,40.46%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-DUNK-GLD-9,79.14%,31.41%,76.70%,32.72%,75.28%,38.80%
Baseline_v2,DC-Johannesburg-ZA,NK-LEBRON-OGR-8,55.14%,54.50%,72.80%,41.63%,73.39%,45.33%
Baseline_v2,DC-Dubai-UAE,NK-VAPORFLY-RED-13,55.55%,60.00%,88.67%,14.36%,77.82%,30.36%
Baseline_v2,DC-Dubai-UAE,NK-ZOOM-PEGA-RED-9,71.68%,43.60%,89.27%,13.69%,82.09%,24.04%
Consensus_v1,DC-Memphis-TN,NK-LEGGING-EPIC-RED-M,61.04%,47.45%,91.02%,13.61%,82.16%,23.92%
OP_Plan_2025,DC-Laakdal-BE,NK-AIR-FORCE-PPL-10,56.15%,60.00%,72.95%,42.79%,77.53%,35.77%
Consensus_v1,DC-Memphis-TN,NK-BLAZER-OGR-8,72.60%,43.12%,78.48%,38.27%,62.27%,60.00%
Consensus_v2,DC-Johannesburg-ZA,NK-REACT-NVY-7,60.99%,60.00%,79.82%,25.17%,73.51%,35.93%
OP_Plan_2025,DC-Portland-OR,NK-AIR-MAX-GLD-8,55.21%,60.00%,80.57%,34.15%,63.61%,45.69%
Consensus_v1,DC-Laakdal-BE,NK-SHORT-DRI-NVY-M,70.72%,39.93%,76.36%,28.44%,63.56%,60.00%
Baseline_v2,DC-Sao-Paulo-BR,NK-VAPORFLY-OGR-13,56.80%,60.00%,90.80%,15.22%,63.45%,44.02%
Baseline_v1,DC-Memphis-TN,NK-HUARACHE-GRN-7,59.56%,51.12%,91.69%,11.75%,81.69%,25.21%
Consensus_v2,DC-Dubai-UAE,NK-HOODIE-CLUB-RED-M,55.55%,60.00%,93.63%,9.96%,84.44%,26.35%
Baseline_v1,DC-Laakdal-BE,NK-KD-RED-9,68.68%,44.92%,93.85%,7.89%,81.08%,29.88%
Consensus_v1,DC-Johannesburg-ZA,NK-HUARACHE-GLD-11,77.94%,33.40%,77.01%,27.80%,77.12%,28.91%
OP_Plan_2025,DC-Johannesburg-ZA,NK-KD-NVY-13,53.34%,60.00%,79.52%,24.71%,83.49%,27.75%
Consensus_v1,DC-Shanghai-CN,NK-FREE-RN-GRN-13,73.64%,32.14%,94.55%,7.24%,63.75%,56.44%
Baseline_v2,DC-Dubai-UAE,NK-HUARACHE-BLK-10,80.03%,33.78%,74.38%,33.40%,76.77%,32.01%
Baseline_v1,DC-Sao-Paulo-BR,NK-JORDAN-GRN-8,53.70%,56.31%,72.73%,45.52%,68.24%,40.86%
Baseline_v1,DC-Dubai-UAE,NK-AIR-MAX-BLU-9,61.49%,60.00%,77.21%,35.74%,68.57%,48.60%
Baseline_v1,DC-Johannesburg-ZA,NK-KD-GRN-7,67.83%,41.61%,92.61%,12.40%,66.12%,41.71%
OP_Plan_2025,DC-Portland-OR,NK-DUNK-WHT-13,68.45%,52.29%,93.00%,10.78%,66.75%,42.69%
Baseline_v2,DC-Sao-Paulo-BR,NK-VAPORFLY-WHT-7,71.88%,42.71%,78.98%,36.99%,65.08%,60.00%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-DUNK-GLD-9,60.63%,60.00%,79.17%,28.12%,79.01%,32.99%
Consensus_v2,DC-Shanghai-CN,NK-REACT-RED-9,72.19%,44.19%,77.50%,33.92%,82.11%,21.94%
Consensus_v2,DC-Tokyo-JP,NK-ZOOM-PEGA-RED-10,58.17%,52.85%,91.17%,14.91%,77.91%,31.46%
Consensus_v2,DC-Tokyo-JP,NK-HUARACHE-WHT-13,67.80%,39.20%,84.37%,21.37%,67.64%,44.42%
Baseline_v1,DC-Sao-Paulo-BR,NK-ZOOM-PEGA-GRN-13,66.08%,55.60%,75.87%,41.69%,76.48%,31.49%
Baseline_v2,DC-Dubai-UAE,NK-JORDAN-GLD-13,70.15%,43.04%,92.38%,13.41%,85.83%,22.41%
Baseline_v2,DC-Tokyo-JP,NK-KD-RED-8,78.60%,34.14%,72.99%,45.07%,72.35%,40.54%
Baseline_v1,DC-Tokyo-JP,NK-ALPHAFLY-WHT-9,57.98%,60.00%,74.48%,42.39%,75.01%,36.49%
Consensus_v2,DC-Portland-OR,NK-METCON-OGR-10,81.31%,33.26%,79.48%,25.11%,69.07%,37.23%
Consensus_v1,DC-Tokyo-JP,NK-HUARACHE-BLU-12,54.24%,60.00%,76.85%,39.69%,83.33%,24.41%
Baseline_v1,DC-Sao-Paulo-BR,NK-FREE-RN-OGR-12,63.79%,50.07%,89.94%,18.09%,66.97%,48.75%
OP_Plan_2025,DC-Johannesburg-ZA,NK-ALPHAFLY-BLK-9,63.35%,47.50%,86.32%,18.24%,69.99%,45.86%
Baseline_v1,DC-Dubai-UAE,NK-BLAZER-GRN-13,60.90%,60.00%,82.17%,29.92%,80.83%,30.94%
Baseline_v1,DC-Johannesburg-ZA,NK-REACT-GLD-7,80.34%,27.18%,79.72%,25.27%,68.11%,54.15%
Baseline_v2,DC-Laakdal-BE,NK-METCON-GRN-12,51.26%,60.00%,91.97%,14.09%,72.91%,33.33%
Consensus_v2,DC-Tokyo-JP,NK-ALPHAFLY-GRN-9,57.93%,60.00%,88.82%,19.77%,82.32%,24.54%
Consensus_v2,DC-Shanghai-CN,NK-DUNK-GRN-9,74.05%,33.20%,72.14%,34.46%,75.92%,37.08%
Consensus_v2,DC-Shanghai-CN,NK-KD-PPL-9,76.15%,41.93%,91.14%,14.91%,67.83%,42.96%
Consensus_v2,DC-Tokyo-JP,NK-ALPHAFLY-RED-12,74.08%,31.90%,79.76%,34.86%,64.17%,47.53%
Consensus_v1,DC-Sao-Paulo-BR,NK-AIR-MAX-WHT-7,68.30%,53.35%,79.69%,29.18%,75.78%,31.41%
Consensus_v2,DC-Dubai-UAE,NK-KD-BLK-7,54.02%,59.90%,84.59%,25.28%,71.01%,41.88%
Consensus_v2,DC-Portland-OR,NK-KD-PPL-13,61.03%,54.65%,79.76%,34.03%,68.41%,56.41%
Baseline_v2,DC-Tokyo-JP,NK-REACT-PPL-11,71.54%,48.23%,81.46%,24.92%,79.48%,34.79%
Baseline_v1,DC-Memphis-TN,NK-ALPHAFLY-GLD-10,81.67%,22.32%,87.10%,19.63%,64.13%,43.79%
OP_Plan_2025,DC-Johannesburg-ZA,NK-HUARACHE-GRY-7,66.23%,53.45%,74.70%,32.93%,71.15%,47.81%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-DUNK-RED-9,77.22%,30.09%,81.46%,27.01%,70.59%,45.25%
Baseline_v1,DC-Portland-OR,NK-REACT-NVY-11,66.76%,44.95%,78.42%,27.57%,64.59%,55.31%
Baseline_v2,DC-Laakdal-BE,NK-BLAZER-OGR-12,77.70%,28.14%,78.76%,28.16%,81.90%,24.47%
Baseline_v2,DC-Shanghai-CN,NK-REACT-GRN-8,69.02%,48.39%,87.50%,21.35%,70.43%,47.48%
OP_Plan_2025,DC-Johannesburg-ZA,NK-LEBRON-RED-7,72.16%,37.31%,81.87%,24.76%,81.98%,24.07%
Baseline_v2,DC-Johannesburg-ZA,NK-VAPORFLY-PPL-9,72.44%,34.94%,77.77%,35.34%,67.52%,41.35%
Consensus_v2,DC-Memphis-TN,NK-KD-BLK-10,58.27%,50.77%,79.64%,30.12%,62.36%,47.02%
Consensus_v2,DC-Tokyo-JP,NK-VAPORFLY-BLU-8,75.78%,34.85%,87.48%,20.47%,74.81%,39.81%
Baseline_v2,DC-Johannesburg-ZA,NK-JORDAN-GRN-9,76.87%,29.52%,75.82%,29.38%,71.43%,43.65%
Consensus_v2,DC-Johannesburg-ZA,NK-CORTEZ-GRN-7,66.82%,53.72%,81.35%,23.98%,80.58%,26.72%
Consensus_v1,DC-Tokyo-JP,NK-CORTEZ-NVY-7,58.12%,60.00%,79.08%,35.61%,77.98%,34.11%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-JORDAN-OGR-13,60.35%,60.00%,86.58%,20.89%,62.42%,60.00%
Consensus_v1,DC-Portland-OR,NK-KD-WHT-12,70.64%,40.31%,82.60%,26.10%,70.27%,51.62%
OP_Plan_2025,DC-Portland-OR,NK-VAPORFLY-GRN-11,78.62%,36.22%,84.75%,19.66%,64.39%,60.00%
Baseline_v1,DC-Shanghai-CN,NK-VAPORFLY-BLK-10,57.22%,60.00%,90.68%,13.33%,79.32%,37.08%
Consensus_v1,DC-Shanghai-CN,NK-ALPHAFLY-BLK-13,67.02%,56.86%,74.22%,33.67%,87.67%,18.08%
Consensus_v1,DC-Portland-OR,NK-REACT-BLK-12,77.51%,34.99%,79.36%,30.67%,70.28%,44.39%
Consensus_v1,DC-Dubai-UAE,NK-REACT-GRY-9,58.22%,60.00%,88.99%,17.62%,65.11%,53.86%
OP_Plan_2025,DC-Dubai-UAE,NK-LEBRON-BLU-7,59.84%,60.00%,74.13%,43.16%,79.52%,34.01%
Consensus_v2,DC-Portland-OR,NK-DUNK-NVY-10,65.31%,53.81%,76.51%,29.95%,87.05%,16.38%
Baseline_v2,DC-Laakdal-BE,NK-AIR-MAX-RED-10,52.13%,58.82%,86.99%,22.10%,87.36%,18.76%
Consensus_v1,DC-Johannesburg-ZA,NK-JORDAN-GLD-8,70.89%,37.61%,84.03%,21.76%,72.38%,43.07%
Baseline_v2,DC-Dubai-UAE,NK-AIR-FORCE-PPL-7,64.92%,46.10%,85.41%,23.90%,71.49%,45.18%
Baseline_v1,DC-Shanghai-CN,NK-FREE-RN-WHT-8,51.82%,60.00%,80.25%,34.50%,62.54%,52.04%
Baseline_v2,DC-Shanghai-CN,NK-LEBRON-GRN-8,79.91%,27.13%,81.11%,31.25%,73.81%,37.91%
Consensus_v2,DC-Portland-OR,NK-FREE-RN-GLD-13,66.19%,43.86%,94.29%,8.14%,63.61%,51.07%
Baseline_v2,DC-Laakdal-BE,NK-HUARACHE-NVY-8,78.26%,31.49%,82.39%,24.88%,72.42%,35.00%
Baseline_v1,DC-Portland-OR,NK-LEBRON-NVY-8,73.38%,34.11%,82.52%,25.14%,73.84%,37.91%
OP_Plan_2025,DC-Shanghai-CN,NK-REACT-BLU-10,60.82%,50.00%,82.98%,26.57%,77.13%,32.96%
OP_Plan_2025,DC-Laakdal-BE,NK-ZOOM-PEGA-GLD-12,51.34%,60.00%,72.88%,42.64%,80.15%,26.38%
Consensus_v2,DC-Tokyo-JP,NK-CORTEZ-RED-13,79.06%,30.11%,90.47%,14.53%,64.06%,55.33%
Baseline_v1,DC-Shanghai-CN,NK-VAPORFLY-BLK-8,66.76%,46.26%,84.84%,26.10%,71.66%,44.45%
OP_Plan_2025,DC-Portland-OR,NK-LEBRON-RED-8,75.07%,34.06%,73.84%,38.87%,78.38%,36.69%
OP_Plan_2025,DC-Memphis-TN,NK-AIR-MAX-GRN-9,51.29%,60.00%,92.13%,14.03%,66.61%,54.54%
Baseline_v1,DC-Dubai-UAE,NK-VAPORFLY-RED-7,75.15%,39.03%,94.90%,6.15%,85.27%,18.99%
Consensus_v2,DC-Dubai-UAE,NK-HOODIE-CLUB-BLK-M,69.53%,37.00%,72.30%,37.01%,76.74%,32.82%
Baseline_v2,DC-Laakdal-BE,NK-AIR-FORCE-WHT-13,64.16%,44.04%,85.79%,24.75%,71.96%,37.28%
Baseline_v2,DC-Portland-OR,NK-CORTEZ-OGR-13,56.98%,60.00%,76.59%,31.81%,75.09%,30.91%
Baseline_v1,DC-Portland-OR,NK-ZOOM-PEGA-GLD-10,69.36%,40.82%,85.77%,20.62%,86.91%,19.96%
Baseline_v2,DC-Sao-Paulo-BR,NK-HUARACHE-PPL-7,66.75%,44.43%,76.25%,29.35%,77.71%,36.96%
OP_Plan_2025,DC-Tokyo-JP,NK-DUNK-GRY-10,69.14%,44.17%,72.28%,35.64%,81.30%,25.18%
OP_Plan_2025,DC-Laakdal-BE,NK-FREE-RN-WHT-10,50.23%,60.00%,92.32%,10.46%,67.05%,48.92%
Baseline_v1,DC-Tokyo-JP,NK-VAPORFLY-NVY-8,51.41%,60.00%,84.83%,26.94%,63.27%,46.24%
Consensus_v2,DC-Memphis-TN,NK-DUNK-BLU-9,79.98%,35.84%,79.60%,31.69%,73.81%,38.52%
Consensus_v1,DC-Dubai-UAE,NK-JORDAN-GLD-13,51.50%,60.00%,75.82%,29.87%,79.96%,32.81%
Consensus_v2,DC-Shanghai-CN,NK-AIR-FORCE-BLU-11,74.51%,36.91%,87.46%,16.32%,63.44%,51.13%
OP_Plan_2025,DC-Tokyo-JP,NK-VAPORFLY-GRN-13,67.60%,57.61%,72.51%,49.29%,63.08%,60.00%
OP_Plan_2025,DC-Memphis-TN,NK-AIR-FORCE-WHT-7,65.20%,60.00%,76.12%,40.09%,79.62%,31.15%
Consensus_v2,DC-Johannesburg-ZA,NK-BLAZER-WHT-12,77.98%,37.40%,80.05%,33.31%,87.81%,16.39%
Consensus_v2,DC-Shanghai-CN,NK-JORDAN-GRY-13,56.23%,60.00%,86.51%,22.18%,77.92%,26.72%
Consensus_v1,DC-Johannesburg-ZA,NK-LEBRON-BLK-9,80.63%,33.59%,80.56%,29.42%,63.77%,47.42%
OP_Plan_2025,DC-Dubai-UAE,NK-CORTEZ-GRY-7,70.25%,49.43%,87.54%,19.57%,76.78%,28.69%
Consensus_v1,DC-Johannesburg-ZA,NK-FREE-RN-PPL-12,81.73%,24.21%,75.65%,43.09%,84.87%,26.39%
Consensus_v1,DC-Tokyo-JP,NK-VAPORFLY-BLK-10,57.80%,60.00%,88.12%,18.46%,86.41%,19.17%
Consensus_v1,DC-Portland-OR,NK-DUNK-PPL-11,74.97%,38.51%,76.83%,38.12%,62.66%,52.76%
OP_Plan_2025,DC-Dubai-UAE,NK-VAPORFLY-OGR-9,65.62%,44.00%,85.05%,25.08%,81.11%,29.58%
OP_Plan_2025,DC-Dubai-UAE,NK-DUNK-OGR-9,63.30%,60.00%,73.40%,42.99%,66.75%,46.26%
Baseline_v2,DC-Johannesburg-ZA,NK-HUARACHE-NVY-7,65.09%,43.80%,72.55%,42.57%,86.48%,17.64%
Baseline_v2,DC-Portland-OR,NK-AIR-FORCE-NVY-10,65.82%,43.51%,74.88%,33.96%,78.69%,29.09%
Baseline_v2,DC-Johannesburg-ZA,NK-VAPORFLY-PPL-12,68.31%,41.47%,90.63%,13.65%,81.50%,32.34%
Consensus_v1,DC-Sao-Paulo-BR,NK-ALPHAFLY-GRY-9,63.65%,57.05%,77.68%,30.89%,76.43%,36.59%
Consensus_v2,DC-Sao-Paulo-BR,NK-AIR-FORCE-BLK-8,62.81%,60.00%,75.95%,36.33%,67.56%,44.44%
Consensus_v2,DC-Sao-Paulo-BR,NK-BLAZER-RED-10,78.36%,31.93%,90.37%,16.95%,62.52%,48.43%
Baseline_v1,DC-Dubai-UAE,NK-JORDAN-BLU-13,59.19%,60.00%,87.62%,21.78%,87.92%,19.71%
Consensus_v2,DC-Johannesburg-ZA,NK-HUARACHE-NVY-10,63.32%,51.86%,72.02%,48.74%,62.64%,49.53%
OP_Plan_2025,DC-Dubai-UAE,NK-JORDAN-BLU-9,81.25%,29.76%,89.48%,14.60%,72.68%,36.22%
Baseline_v1,DC-Tokyo-JP,NK-SHORT-DRI-NVY-S,51.74%,60.00%,92.38%,9.83%,65.95%,47.57%
OP_Plan_2025,DC-Laakdal-BE,NK-METCON-GRY-7,56.61%,60.00%,86.54%,22.02%,71.54%,36.66%
Consensus_v1,DC-Sao-Paulo-BR,NK-REACT-BLU-8,61.85%,60.00%,78.19%,28.77%,82.37%,30.78%
Consensus_v1,DC-Johannesburg-ZA,NK-AIR-MAX-NVY-7,52.00%,60.00%,76.20%,42.21%,71.79%,39.59%
Baseline_v2,DC-Sao-Paulo-BR,NK-CORTEZ-BLU-13,74.47%,32.88%,92.14%,10.86%,84.33%,26.87%
Baseline_v2,DC-Shanghai-CN,NK-SHORT-DRI-RED-M,66.34%,42.82%,87.70%,17.21%,75.02%,39.66%
Consensus_v1,DC-Johannesburg-ZA,NK-JORDAN-BLU-9,71.84%,37.77%,76.07%,28.79%,73.58%,33.04%
Consensus_v2,DC-Laakdal-BE,NK-LEGGING-EPIC-GRY-M,72.56%,45.14%,93.75%,8.67%,84.32%,20.05%
Baseline_v1,DC-Laakdal-BE,NK-JORDAN-BLK-12,56.97%,53.92%,86.68%,18.44%,84.35%,27.79%
OP_Plan_2025,DC-Johannesburg-ZA,NK-BLAZER-PPL-10,59.85%,59.67%,87.56%,19.67%,72.45%,42.62%
Baseline_v1,DC-Shanghai-CN,NK-ALPHAFLY-BLU-12,72.58%,48.08%,93.45%,11.53%,72.46%,40.80%
Baseline_v2,DC-Shanghai-CN,NK-BLAZER-BLK-7,52.27%,60.00%,75.20%,38.86%,69.96%,41.92%
Consensus_v2,DC-Portland-OR,NK-AIR-MAX-GRN-11,74.82%,36.16%,78.22%,29.38%,86.49%,18.62%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-KD-WHT-8,66.66%,48.83%,94.44%,7.90%,71.29%,40.38%
OP_Plan_2025,DC-Shanghai-CN,NK-BLAZER-GLD-11,64.44%,60.00%,81.56%,22.82%,72.32%,41.09%
Baseline_v2,DC-Sao-Paulo-BR,NK-DUNK-BLU-8,71.55%,36.48%,81.45%,31.37%,85.27%,25.21%
Consensus_v1,DC-Portland-OR,NK-AIR-MAX-OGR-8,77.06%,31.10%,93.41%,10.52%,81.41%,25.79%
OP_Plan_2025,DC-Dubai-UAE,NK-HUARACHE-BLK-7,59.00%,60.00%,91.83%,10.32%,76.40%,35.58%
Baseline_v2,DC-Laakdal-BE,NK-METCON-BLK-11,53.81%,60.00%,73.55%,43.22%,86.15%,20.20%
Baseline_v2,DC-Memphis-TN,NK-REACT-NVY-7,81.82%,24.36%,86.29%,22.36%,64.88%,42.90%
Baseline_v2,DC-Portland-OR,NK-HUARACHE-BLK-12,64.21%,57.45%,72.90%,38.90%,82.86%,24.07%
Baseline_v2,DC-Memphis-TN,NK-JORDAN-GRN-7,51.21%,60.00%,89.78%,16.38%,62.82%,56.54%
Baseline_v1,DC-Laakdal-BE,NK-AIR-MAX-OGR-10,53.12%,60.00%,77.72%,33.94%,87.80%,20.92%
Consensus_v1,DC-Dubai-UAE,NK-DUNK-BLK-11,80.44%,25.07%,72.42%,48.06%,63.78%,60.00%
Baseline_v2,DC-Memphis-TN,NK-AIR-MAX-PPL-11,75.85%,39.66%,77.15%,32.40%,73.40%,47.51%
Consensus_v1,DC-Johannesburg-ZA,NK-DUNK-WHT-7,55.26%,60.00%,73.39%,36.69%,69.75%,42.12%
Consensus_v1,DC-Portland-OR,NK-FREE-RN-BLK-7,67.43%,40.61%,73.62%,46.05%,66.94%,55.96%
Consensus_v2,DC-Memphis-TN,NK-METCON-BLU-7,56.79%,54.84%,88.97%,14.15%,73.44%,39.56%
OP_Plan_2025,DC-Shanghai-CN,NK-KD-GRN-7,66.12%,58.51%,72.33%,46.53%,87.50%,19.54%
Baseline_v1,DC-Shanghai-CN,NK-BACKPACK-BRSLA-BLK,64.31%,60.00%,82.25%,27.61%,80.22%,26.04%
Baseline_v2,DC-Tokyo-JP,NK-LEBRON-BLK-10,63.23%,45.00%,75.58%,37.32%,64.27%,50.96%
OP_Plan_2025,DC-Tokyo-JP,NK-FREE-RN-WHT-12,77.29%,28.83%,78.00%,39.20%,81.10%,30.61%
Consensus_v1,DC-Sao-Paulo-BR,NK-CORTEZ-NVY-11,74.81%,35.41%,89.56%,13.21%,87.51%,17.84%
Baseline_v1,DC-Portland-OR,NK-REACT-BLU-8,70.01%,50.53%,75.36%,43.44%,85.86%,24.50%
Consensus_v2,DC-Portland-OR,NK-SPORTS-BRA-INDY-RED-M,72.04%,42.81%,87.44%,22.05%,78.10%,37.12%
Consensus_v1,DC-Shanghai-CN,NK-HUARACHE-GRY-7,69.23%,49.77%,76.52%,31.52%,69.80%,47.89%
Baseline_v2,DC-Portland-OR,NK-ZOOM-PEGA-NVY-10,60.97%,60.00%,90.42%,12.53%,64.86%,60.00%
Baseline_v1,DC-Portland-OR,NK-BLAZER-PPL-7,52.58%,60.00%,73.28%,41.84%,68.26%,45.45%
OP_Plan_2025,DC-Memphis-TN,NK-ALPHAFLY-BLK-9,59.85%,60.00%,92.95%,8.49%,74.58%,32.38%
Baseline_v1,DC-Memphis-TN,NK-AIR-MAX-PPL-7,59.04%,51.15%,85.38%,23.82%,68.25%,46.56%
Consensus_v1,DC-Shanghai-CN,NK-CORTEZ-WHT-10,53.68%,55.69%,78.93%,32.86%,67.23%,56.82%
Consensus_v2,DC-Memphis-TN,NK-CORTEZ-GRN-7,57.26%,60.00%,92.26%,9.52%,68.68%,46.32%
Consensus_v1,DC-Portland-OR,NK-FREE-RN-NVY-13,56.09%,60.00%,87.90%,16.42%,78.23%,36.96%
OP_Plan_2025,DC-Dubai-UAE,NK-BLAZER-RED-11,61.62%,60.00%,90.67%,13.11%,73.28%,45.67%
Baseline_v2,DC-Johannesburg-ZA,NK-ZOOM-PEGA-BLK-7,51.64%,60.00%,89.06%,18.42%,83.97%,23.03%
Baseline_v1,DC-Memphis-TN,NK-CORTEZ-RED-8,57.01%,54.50%,82.68%,27.22%,74.49%,40.74%
Baseline_v1,DC-Shanghai-CN,NK-FREE-RN-OGR-10,80.63%,28.21%,83.10%,22.47%,87.15%,20.94%
Consensus_v2,DC-Johannesburg-ZA,NK-REACT-PPL-8,53.95%,60.00%,84.08%,25.87%,68.56%,46.16%
Consensus_v1,DC-Dubai-UAE,NK-SHORT-DRI-RED-M,67.62%,41.83%,94.48%,7.43%,79.25%,35.35%
OP_Plan_2025,DC-Johannesburg-ZA,NK-JORDAN-GRN-8,59.90%,60.00%,83.32%,27.02%,84.24%,22.86%
Consensus_v1,DC-Dubai-UAE,NK-LEBRON-BLK-12,56.14%,60.00%,74.49%,43.51%,77.97%,30.75%
Baseline_v2,DC-Tokyo-JP,NK-METCON-GRY-9,55.82%,60.00%,92.00%,10.02%,82.20%,30.42%
Baseline_v1,DC-Laakdal-BE,NK-JACKET-WIND-WHT-M,66.58%,55.11%,90.15%,12.53%,65.65%,47.12%
Consensus_v2,DC-Sao-Paulo-BR,NK-JORDAN-BLU-7,73.02%,47.44%,91.73%,13.23%,73.32%,47.27%
Consensus_v2,DC-Memphis-TN,NK-HUARACHE-GLD-13,67.04%,50.72%,73.22%,43.81%,65.15%,48.15%
Baseline_v2,DC-Dubai-UAE,NK-METCON-WHT-8,79.52%,33.94%,80.73%,30.25%,87.22%,20.92%
Consensus_v2,DC-Tokyo-JP,NK-ALPHAFLY-OGR-7,63.05%,50.54%,79.55%,30.51%,62.64%,50.40%
Baseline_v2,DC-Tokyo-JP,NK-KD-BLU-12,63.96%,57.48%,76.54%,39.48%,66.83%,41.49%
OP_Plan_2025,DC-Shanghai-CN,NK-METCON-GRN-11,66.08%,47.38%,84.84%,21.35%,86.25%,24.10%
Baseline_v2,DC-Johannesburg-ZA,NK-LEBRON-RED-10,73.70%,39.21%,79.74%,35.51%,62.31%,57.73%
Consensus_v2,DC-Portland-OR,NK-ALPHAFLY-WHT-10,65.21%,58.09%,79.76%,26.47%,69.32%,45.25%
Baseline_v2,DC-Portland-OR,NK-JORDAN-BLK-12,74.60%,31.42%,91.26%,11.74%,67.07%,49.49%
Baseline_v1,DC-Tokyo-JP,NK-HOODIE-CLUB-GRY-M,73.01%,41.25%,90.21%,14.10%,73.05%,38.53%
OP_Plan_2025,DC-Dubai-UAE,NK-KD-RED-12,68.48%,48.62%,78.04%,31.92%,63.04%,54.31%
Baseline_v1,DC-Shanghai-CN,NK-CORTEZ-NVY-9,77.68%,34.83%,74.29%,42.68%,87.12%,22.95%
