Activity3.[Activity3],Demand Type.[Demand Type],Supplier.[Supplier Location],Version.[Version Name],Activity1.[Activity1],Activity2.[Activity2],Documents.[OrderlineID],Location.[Location],Time.[Week],Item.[Item],W Procurement Forecast Due to Forecast,W Procurement Forecast Due to Orders,W Procurement Forecast Intermediate with Demand Type Input To R,W Procurement Forecast With Demand Type,W Procurement Forecast With Demand Type within Lead Time
Finished-Goods,FORECAST,SUP-China-SHH,Consensus_v2,Buy,Replenishment,ORD-2025-000267,DC-Portland-OR,2025-W27,NK-VAPORFLY-WHT-11,576,35,611,586,446
Finished-Goods,FORECAST,SUP-India-CHN,Consensus_v2,Transfer,Make-to-Stock,ORD-2025-000268,DC-Portland-OR,2025-W46,NK-AIR-FORCE-NVY-11,2509,558,3067,3132,1666
Raw-Material,FIRM,SUP-Bangladesh-DAC,Baseline_v2,Make,Replenishment,ORD-2025-000269,DC-Shanghai-CN,2025-W13,NK-JORDAN-OGR-13,942,3378,4320,4197,2975
Raw-Material,FIRM,SUP-Vietnam-HCM,Baseline_v1,Buy,Replenishment,ORD-2025-000270,DC-Portland-OR,2025-W39,NK-LEBRON-BLU-10,898,2640,3538,3545,1857
WIP,FORECAST,SUP-China-SHH,Baseline_v2,Make,Safety-Stock-Build,ORD-2025-000271,DC-Laakdal-BE,2025-W37,NK-FREE-RN-WHT-10,3926,246,4172,4135,3331
Semi-Finished,FORECAST,SUP-China-GZH,Consensus_v2,Transfer,Make-to-Stock,ORD-2025-000272,DC-Sao-Paulo-BR,2025-W03,NK-KD-GRN-9,2261,538,2799,2715,1918
Packaging,FIRM,SUP-India-CHN,Baseline_v2,Transfer,Replenishment,ORD-2025-000273,DC-Tokyo-JP,2025-W47,NK-METCON-PPL-12,276,1904,2180,2183,1692
Semi-Finished,FORECAST,SUP-Cambodia-PNH,Baseline_v2,Buy,Seasonal-Build,ORD-2025-000274,DC-Sao-Paulo-BR,2025-W46,NK-BLAZER-GRY-7,199,55,254,255,150
Finished-Goods,FORECAST,SUP-India-CHN,OP_Plan_2025,Buy,Replenishment,ORD-2025-000275,DC-Tokyo-JP,2025-W35,NK-ZOOM-PEGA-NVY-13,3277,701,3978,3887,2258
Finished-Goods,FORECAST,SUP-India-CHN,OP_Plan_2025,Transfer,Seasonal-Build,ORD-2025-000276,DC-Johannesburg-ZA,2025-W46,NK-REACT-GLD-8,3286,910,4196,4179,2695
Finished-Goods,FORECAST,SUP-Bangladesh-DAC,Baseline_v1,Make,Replenishment,ORD-2025-000277,DC-Johannesburg-ZA,2025-W42,NK-LEBRON-BLK-9,2086,448,2534,2542,1973
WIP,FIRM,SUP-Bangladesh-DAC,Consensus_v2,Transfer,Seasonal-Build,ORD-2025-000278,DC-Portland-OR,2025-W47,NK-KD-GRY-10,295,1285,1580,1583,1128
Semi-Finished,FORECAST,SUP-Bangladesh-DAC,Baseline_v1,Make,Seasonal-Build,ORD-2025-000279,DC-Johannesburg-ZA,2025-W47,NK-CORTEZ-GLD-11,3115,457,3572,3466,2130
Semi-Finished,FORECAST,SUP-India-CHN,Baseline_v2,Buy,Replenishment,ORD-2025-000280,DC-Sao-Paulo-BR,2025-W49,NK-FREE-RN-GRN-7,2160,610,2770,2903,1972
WIP,FORECAST,SUP-Mexico-MTY,Baseline_v2,Buy,Safety-Stock-Build,ORD-2025-000281,DC-Portland-OR,2025-W01,NK-METCON-GRN-12,2772,694,3466,3434,2781
WIP,FORECAST,SUP-Indonesia-JKT,Baseline_v1,Buy,Replenishment,ORD-2025-000282,DC-Laakdal-BE,2025-W46,NK-DUNK-BLU-11,949,88,1037,1040,705
Finished-Goods,FORECAST,SUP-Mexico-MTY,Consensus_v2,Transfer,Safety-Stock-Build,ORD-2025-000283,DC-Shanghai-CN,2025-W49,NK-BLAZER-RED-10,216,29,245,233,155
WIP,FORECAST,SUP-China-GZH,Consensus_v1,Make,Replenishment,ORD-2025-000284,DC-Sao-Paulo-BR,2025-W04,NK-CORTEZ-NVY-7,2121,660,2781,2904,1495
Packaging,FORECAST,SUP-Cambodia-PNH,Consensus_v2,Make,Seasonal-Build,ORD-2025-000285,DC-Johannesburg-ZA,2025-W15,NK-METCON-GLD-12,2858,186,3044,3093,2070
WIP,FORECAST,SUP-Mexico-MTY,Consensus_v2,Buy,Replenishment,ORD-2025-000286,DC-Sao-Paulo-BR,2025-W28,NK-AIR-MAX-OGR-7,2391,324,2715,2785,1406
Packaging,FORECAST,SUP-Indonesia-JKT,OP_Plan_2025,Buy,Make-to-Order,ORD-2025-000287,DC-Shanghai-CN,2025-W42,NK-REACT-WHT-8,3425,880,4305,4346,3168
Packaging,FIRM,SUP-Indonesia-JKT,Consensus_v2,Transfer,Make-to-Stock,ORD-2025-000288,DC-Memphis-TN,2025-W02,NK-CORTEZ-BLU-7,187,852,1039,1009,654
WIP,FORECAST,SUP-Bangladesh-DAC,Consensus_v1,Make,Seasonal-Build,ORD-2025-000289,DC-Portland-OR,2025-W30,NK-BLAZER-RED-10,1975,571,2546,2558,1756
Semi-Finished,FORECAST,SUP-Cambodia-PNH,Consensus_v2,Transfer,Safety-Stock-Build,ORD-2025-000290,DC-Memphis-TN,2025-W37,NK-FREE-RN-BLK-12,2133,255,2388,2465,1286
WIP,FIRM,SUP-Cambodia-PNH,OP_Plan_2025,Make,Make-to-Order,ORD-2025-000291,DC-Johannesburg-ZA,2025-W06,NK-ALPHAFLY-NVY-9,375,1496,1871,1783,1440
WIP,FIRM,SUP-Vietnam-HCM,OP_Plan_2025,Make,Replenishment,ORD-2025-000292,DC-Shanghai-CN,2025-W12,NK-DUNK-RED-8,557,2225,2782,2828,1507
Semi-Finished,FORECAST,SUP-India-CHN,Baseline_v1,Transfer,Safety-Stock-Build,ORD-2025-000293,DC-Laakdal-BE,2025-W21,NK-LEBRON-BLK-9,3039,747,3786,3773,2640
Raw-Material,FORECAST,SUP-Vietnam-HCM,Consensus_v2,Transfer,Replenishment,ORD-2025-000294,DC-Memphis-TN,2025-W35,NK-LEBRON-GRN-12,215,17,232,220,111
WIP,FORECAST,SUP-Indonesia-JKT,Baseline_v2,Buy,Replenishment,ORD-2025-000295,DC-Portland-OR,2025-W20,NK-BLAZER-WHT-7,3767,727,4494,4714,3605
Semi-Finished,FORECAST,SUP-China-SHH,Baseline_v2,Make,Make-to-Stock,ORD-2025-000296,DC-Memphis-TN,2025-W20,NK-AIR-MAX-GLD-8,1764,250,2014,2040,1355
Semi-Finished,FIRM,SUP-China-SHH,OP_Plan_2025,Transfer,Make-to-Stock,ORD-2025-000297,DC-Laakdal-BE,2025-W25,NK-AIR-MAX-GLD-11,641,1950,2591,2558,2122
Raw-Material,FIRM,SUP-Cambodia-PNH,Baseline_v1,Buy,Make-to-Order,ORD-2025-000298,DC-Shanghai-CN,2025-W50,NK-CORTEZ-GRY-13,865,2395,3260,3231,1846
Raw-Material,FIRM,SUP-Bangladesh-DAC,OP_Plan_2025,Buy,Make-to-Order,ORD-2025-000299,DC-Tokyo-JP,2025-W49,NK-ALPHAFLY-GRN-13,645,1815,2460,2560,1852
Semi-Finished,FORECAST,SUP-Mexico-MTY,Baseline_v2,Make,Make-to-Stock,ORD-2025-000300,DC-Johannesburg-ZA,2025-W20,NK-JORDAN-BLU-8,443,114,557,562,419
WIP,FIRM,SUP-India-CHN,Baseline_v1,Transfer,Replenishment,ORD-2025-000301,DC-Shanghai-CN,2025-W37,NK-REACT-BLU-12,792,2809,3601,3772,2788
Semi-Finished,FORECAST,SUP-Cambodia-PNH,Consensus_v2,Buy,Make-to-Stock,ORD-2025-000302,DC-Johannesburg-ZA,2025-W42,NK-VAPORFLY-BLK-11,4479,696,5175,4948,3054
Raw-Material,FIRM,SUP-Mexico-MTY,Consensus_v2,Transfer,Seasonal-Build,ORD-2025-000303,DC-Shanghai-CN,2025-W03,NK-FREE-RN-NVY-10,313,1368,1681,1635,1085
Packaging,FORECAST,SUP-Indonesia-JKT,Consensus_v2,Buy,Safety-Stock-Build,ORD-2025-000304,DC-Tokyo-JP,2025-W13,NK-METCON-RED-8,1252,322,1574,1542,896
Raw-Material,FIRM,SUP-Cambodia-PNH,Consensus_v1,Make,Seasonal-Build,ORD-2025-000305,DC-Johannesburg-ZA,2025-W38,NK-ALPHAFLY-WHT-11,758,2803,3561,3690,2045
Raw-Material,FIRM,SUP-Vietnam-HCM,Baseline_v2,Buy,Make-to-Order,ORD-2025-000306,DC-Portland-OR,2025-W22,NK-AIR-FORCE-GRY-12,68,149,217,215,181
Semi-Finished,FORECAST,SUP-Vietnam-HCM,Baseline_v1,Make,Replenishment,ORD-2025-000307,DC-Tokyo-JP,2025-W18,NK-VAPORFLY-RED-11,3917,906,4823,4603,2505
Raw-Material,FORECAST,SUP-Mexico-MTY,Consensus_v2,Transfer,Make-to-Stock,ORD-2025-000308,DC-Johannesburg-ZA,2025-W40,NK-CORTEZ-BLK-11,2352,375,2727,2689,2153
Packaging,FORECAST,SUP-China-SHH,Baseline_v1,Buy,Replenishment,ORD-2025-000309,DC-Dubai-UAE,2025-W38,NK-FREE-RN-PPL-12,902,170,1072,1070,776
Semi-Finished,FIRM,SUP-Bangladesh-DAC,Baseline_v1,Make,Replenishment,ORD-2025-000310,DC-Memphis-TN,2025-W03,NK-BLAZER-NVY-12,223,1083,1306,1348,808
Semi-Finished,FIRM,SUP-Indonesia-JKT,Consensus_v2,Transfer,Safety-Stock-Build,ORD-2025-000311,DC-Tokyo-JP,2025-W45,NK-AIR-FORCE-PPL-10,682,2936,3618,3794,1930
Semi-Finished,FORECAST,SUP-Vietnam-HCM,Baseline_v2,Make,Replenishment,ORD-2025-000312,DC-Tokyo-JP,2025-W23,NK-AIR-FORCE-NVY-8,363,57,420,410,284
Raw-Material,FIRM,SUP-Bangladesh-DAC,Baseline_v2,Transfer,Make-to-Stock,ORD-2025-000313,DC-Dubai-UAE,2025-W39,NK-FREE-RN-RED-13,291,1177,1468,1463,1120
Finished-Goods,FORECAST,SUP-Mexico-MTY,Consensus_v1,Transfer,Make-to-Stock,ORD-2025-000314,DC-Shanghai-CN,2025-W10,NK-CORTEZ-PPL-7,1653,454,2107,2008,1147
Packaging,FIRM,SUP-China-GZH,Consensus_v1,Make,Make-to-Stock,ORD-2025-000315,DC-Johannesburg-ZA,2025-W15,NK-JORDAN-BLK-8,1004,2307,3311,3452,2929
Raw-Material,FORECAST,SUP-Bangladesh-DAC,Consensus_v1,Transfer,Replenishment,ORD-2025-000316,DC-Sao-Paulo-BR,2025-W17,NK-LEBRON-OGR-12,592,126,718,694,439
Semi-Finished,FORECAST,SUP-Mexico-MTY,Consensus_v1,Make,Make-to-Stock,ORD-2025-000317,DC-Portland-OR,2025-W35,NK-LEBRON-PPL-11,4032,935,4967,4900,2995
WIP,FIRM,SUP-Mexico-MTY,Consensus_v2,Make,Seasonal-Build,ORD-2025-000318,DC-Laakdal-BE,2025-W52,NK-JORDAN-PPL-8,198,1297,1495,1515,1074
WIP,FIRM,SUP-Indonesia-JKT,Consensus_v2,Transfer,Replenishment,ORD-2025-000319,DC-Shanghai-CN,2025-W01,NK-METCON-GLD-9,1345,3148,4493,4585,3291
WIP,FORECAST,SUP-Vietnam-HCM,Consensus_v2,Transfer,Seasonal-Build,ORD-2025-000320,DC-Portland-OR,2025-W34,NK-METCON-GRY-12,2622,690,3312,3296,1876
Semi-Finished,FORECAST,SUP-China-GZH,Baseline_v2,Transfer,Make-to-Stock,ORD-2025-000321,DC-Sao-Paulo-BR,2025-W35,NK-REACT-RED-9,3041,676,3717,3745,3057
Packaging,FORECAST,SUP-Cambodia-PNH,Baseline_v1,Make,Make-to-Stock,ORD-2025-000322,DC-Memphis-TN,2025-W30,NK-BLAZER-GRN-8,1286,270,1556,1533,1172
Raw-Material,FORECAST,SUP-Indonesia-JKT,Consensus_v2,Transfer,Make-to-Stock,ORD-2025-000323,DC-Tokyo-JP,2025-W24,NK-HUARACHE-OGR-11,3756,309,4065,4077,2449
Semi-Finished,FIRM,SUP-China-SHH,Consensus_v1,Make,Replenishment,ORD-2025-000324,DC-Johannesburg-ZA,2025-W50,NK-DUNK-PPL-9,294,1259,1553,1477,1039
Semi-Finished,FIRM,SUP-Mexico-MTY,Consensus_v1,Buy,Seasonal-Build,ORD-2025-000325,DC-Tokyo-JP,2025-W09,NK-AIR-FORCE-RED-13,75,215,290,278,195
Semi-Finished,FORECAST,SUP-China-GZH,OP_Plan_2025,Buy,Safety-Stock-Build,ORD-2025-000326,DC-Memphis-TN,2025-W30,NK-VAPORFLY-GLD-9,3282,616,3898,3790,3053
Finished-Goods,FIRM,SUP-Cambodia-PNH,OP_Plan_2025,Transfer,Make-to-Stock,ORD-2025-000327,DC-Portland-OR,2025-W42,NK-CORTEZ-OGR-12,537,2806,3343,3214,1637
Finished-Goods,FORECAST,SUP-Vietnam-HCM,Baseline_v2,Buy,Make-to-Stock,ORD-2025-000328,DC-Dubai-UAE,2025-W17,NK-BLAZER-NVY-7,3508,246,3754,3864,2146
WIP,FORECAST,SUP-India-CHN,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000329,DC-Johannesburg-ZA,2025-W35,NK-ZOOM-PEGA-RED-13,3499,399,3898,4018,3167
WIP,FORECAST,SUP-Mexico-MTY,Baseline_v2,Make,Safety-Stock-Build,ORD-2025-000330,DC-Portland-OR,2025-W14,NK-FREE-RN-RED-13,493,76,569,593,361
WIP,FIRM,SUP-China-GZH,Consensus_v2,Transfer,Make-to-Order,ORD-2025-000331,DC-Johannesburg-ZA,2025-W44,NK-KD-GLD-9,395,1048,1443,1377,1022
Semi-Finished,FIRM,SUP-Mexico-MTY,Consensus_v2,Transfer,Safety-Stock-Build,ORD-2025-000332,DC-Johannesburg-ZA,2025-W04,NK-AIR-FORCE-RED-8,268,963,1231,1220,898
Finished-Goods,FIRM,SUP-Cambodia-PNH,OP_Plan_2025,Make,Safety-Stock-Build,ORD-2025-000333,DC-Laakdal-BE,2025-W39,NK-AIR-MAX-PPL-13,333,2223,2556,2509,2105
Packaging,FIRM,SUP-Indonesia-JKT,Consensus_v1,Make,Seasonal-Build,ORD-2025-000334,DC-Sao-Paulo-BR,2025-W05,NK-ZOOM-PEGA-PPL-9,280,1057,1337,1275,986
Raw-Material,FORECAST,SUP-Cambodia-PNH,Baseline_v2,Buy,Seasonal-Build,ORD-2025-000335,DC-Memphis-TN,2025-W20,NK-ALPHAFLY-BLU-12,3512,579,4091,4260,2504
Packaging,FIRM,SUP-Vietnam-HCM,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000336,DC-Johannesburg-ZA,2025-W22,NK-VAPORFLY-OGR-8,39,278,317,332,278
Finished-Goods,FORECAST,SUP-China-SHH,Consensus_v2,Transfer,Make-to-Stock,ORD-2025-000337,DC-Memphis-TN,2025-W49,NK-BLAZER-WHT-10,729,105,834,830,641
Finished-Goods,FORECAST,SUP-China-SHH,Baseline_v2,Buy,Make-to-Stock,ORD-2025-000338,DC-Memphis-TN,2025-W14,NK-BLAZER-GRN-13,849,186,1035,1015,701
Raw-Material,FORECAST,SUP-China-GZH,Consensus_v1,Transfer,Seasonal-Build,ORD-2025-000339,DC-Tokyo-JP,2025-W22,NK-BLAZER-RED-10,1394,386,1780,1719,1061
WIP,FIRM,SUP-China-GZH,Baseline_v1,Transfer,Make-to-Order,ORD-2025-000340,DC-Laakdal-BE,2025-W26,NK-HUARACHE-GRY-12,248,1057,1305,1244,1025
Raw-Material,FIRM,SUP-Indonesia-JKT,Consensus_v1,Transfer,Replenishment,ORD-2025-000341,DC-Sao-Paulo-BR,2025-W08,NK-JORDAN-OGR-10,437,2891,3328,3357,2145
Semi-Finished,FIRM,SUP-Vietnam-HCM,Consensus_v2,Buy,Seasonal-Build,ORD-2025-000342,DC-Memphis-TN,2025-W16,NK-DUNK-GRY-11,586,1881,2467,2548,1992
Semi-Finished,FORECAST,SUP-China-SHH,Consensus_v2,Buy,Seasonal-Build,ORD-2025-000343,DC-Tokyo-JP,2025-W03,NK-CORTEZ-GLD-13,1394,407,1801,1748,1334
Semi-Finished,FORECAST,SUP-China-SHH,Baseline_v1,Make,Safety-Stock-Build,ORD-2025-000344,DC-Memphis-TN,2025-W22,NK-CORTEZ-PPL-9,2258,266,2524,2472,2024
Semi-Finished,FORECAST,SUP-China-SHH,Consensus_v2,Transfer,Safety-Stock-Build,ORD-2025-000345,DC-Portland-OR,2025-W39,NK-BLAZER-BLK-13,390,26,416,424,240
Raw-Material,FORECAST,SUP-India-CHN,Consensus_v2,Transfer,Replenishment,ORD-2025-000346,DC-Tokyo-JP,2025-W22,NK-JORDAN-WHT-9,1239,249,1488,1513,1193
WIP,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Buy,Replenishment,ORD-2025-000347,DC-Sao-Paulo-BR,2025-W32,NK-ALPHAFLY-RED-11,292,47,339,326,182
Semi-Finished,FORECAST,SUP-Cambodia-PNH,Consensus_v1,Buy,Replenishment,ORD-2025-000348,DC-Sao-Paulo-BR,2025-W21,NK-VAPORFLY-GLD-10,1942,261,2203,2280,1300
Packaging,FORECAST,SUP-India-CHN,Baseline_v2,Transfer,Make-to-Order,ORD-2025-000349,DC-Memphis-TN,2025-W24,NK-ALPHAFLY-GLD-12,2290,273,2563,2561,1455
Finished-Goods,FIRM,SUP-Bangladesh-DAC,Baseline_v2,Buy,Make-to-Order,ORD-2025-000350,DC-Shanghai-CN,2025-W30,NK-JORDAN-BLK-12,1527,4009,5536,5438,4006
Semi-Finished,FORECAST,SUP-Bangladesh-DAC,Baseline_v1,Make,Replenishment,ORD-2025-000351,DC-Laakdal-BE,2025-W41,NK-DUNK-NVY-10,1186,230,1416,1376,716
Finished-Goods,FIRM,SUP-Indonesia-JKT,Consensus_v2,Transfer,Safety-Stock-Build,ORD-2025-000352,DC-Memphis-TN,2025-W01,NK-JORDAN-RED-7,456,2202,2658,2648,1336
Semi-Finished,FORECAST,SUP-Indonesia-JKT,OP_Plan_2025,Make,Make-to-Order,ORD-2025-000353,DC-Johannesburg-ZA,2025-W12,NK-METCON-RED-8,3704,526,4230,4268,2381
Semi-Finished,FORECAST,SUP-China-SHH,Consensus_v2,Make,Replenishment,ORD-2025-000354,DC-Sao-Paulo-BR,2025-W32,NK-DUNK-BLK-12,3499,763,4262,4306,2617
Packaging,FIRM,SUP-Mexico-MTY,Baseline_v1,Buy,Seasonal-Build,ORD-2025-000355,DC-Sao-Paulo-BR,2025-W46,NK-KD-OGR-10,611,3391,4002,3978,2048
WIP,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Transfer,Replenishment,ORD-2025-000356,DC-Portland-OR,2025-W28,NK-JORDAN-RED-8,2410,294,2704,2743,1648
Semi-Finished,FIRM,SUP-Bangladesh-DAC,Baseline_v1,Transfer,Make-to-Order,ORD-2025-000357,DC-Tokyo-JP,2025-W05,NK-METCON-PPL-10,207,548,755,779,634
WIP,FIRM,SUP-India-CHN,Baseline_v2,Transfer,Safety-Stock-Build,ORD-2025-000358,DC-Dubai-UAE,2025-W03,NK-DUNK-WHT-9,278,1594,1872,1793,1417
WIP,FIRM,SUP-Vietnam-HCM,Consensus_v1,Transfer,Seasonal-Build,ORD-2025-000359,DC-Laakdal-BE,2025-W44,NK-ALPHAFLY-NVY-11,552,1814,2366,2451,1733
Semi-Finished,FORECAST,SUP-India-CHN,Consensus_v2,Buy,Safety-Stock-Build,ORD-2025-000360,DC-Shanghai-CN,2025-W47,NK-CORTEZ-BLK-11,3243,856,4099,4193,3005
WIP,FORECAST,SUP-India-CHN,Consensus_v2,Buy,Safety-Stock-Build,ORD-2025-000361,DC-Johannesburg-ZA,2025-W19,NK-AIR-FORCE-RED-13,1075,85,1160,1114,743
Raw-Material,FIRM,SUP-China-GZH,Consensus_v1,Make,Safety-Stock-Build,ORD-2025-000362,DC-Dubai-UAE,2025-W49,NK-AIR-FORCE-NVY-8,476,2366,2842,2881,2267
Raw-Material,FORECAST,SUP-Bangladesh-DAC,Consensus_v2,Transfer,Replenishment,ORD-2025-000363,DC-Tokyo-JP,2025-W37,NK-BLAZER-OGR-7,3253,455,3708,3695,2093
Packaging,FORECAST,SUP-China-GZH,Baseline_v1,Transfer,Make-to-Order,ORD-2025-000364,DC-Laakdal-BE,2025-W28,NK-AIR-FORCE-RED-8,4248,1135,5383,5276,4422
Packaging,FIRM,SUP-Bangladesh-DAC,Consensus_v1,Make,Safety-Stock-Build,ORD-2025-000365,DC-Portland-OR,2025-W03,NK-DUNK-GRN-10,584,2681,3265,3122,1931
WIP,FIRM,SUP-Cambodia-PNH,OP_Plan_2025,Make,Safety-Stock-Build,ORD-2025-000366,DC-Memphis-TN,2025-W38,NK-KD-WHT-8,1004,4095,5099,5346,2673
Semi-Finished,FORECAST,SUP-Indonesia-JKT,Consensus_v1,Buy,Make-to-Stock,ORD-2025-000367,DC-Shanghai-CN,2025-W34,NK-HUARACHE-PPL-9,2585,798,3383,3375,2398
Semi-Finished,FORECAST,SUP-Mexico-MTY,Consensus_v1,Make,Safety-Stock-Build,ORD-2025-000368,DC-Laakdal-BE,2025-W43,NK-REACT-GLD-11,2693,330,3023,2981,1593
Finished-Goods,FIRM,SUP-Cambodia-PNH,Baseline_v2,Transfer,Make-to-Stock,ORD-2025-000369,DC-Shanghai-CN,2025-W30,NK-KD-NVY-11,223,1112,1335,1326,939
Raw-Material,FORECAST,SUP-Cambodia-PNH,Baseline_v2,Buy,Safety-Stock-Build,ORD-2025-000370,DC-Johannesburg-ZA,2025-W24,NK-ALPHAFLY-NVY-12,1520,214,1734,1764,1081
Packaging,FORECAST,SUP-Bangladesh-DAC,Consensus_v1,Transfer,Make-to-Stock,ORD-2025-000371,DC-Dubai-UAE,2025-W21,NK-ALPHAFLY-WHT-7,1675,555,2230,2318,1279
Raw-Material,FORECAST,SUP-China-GZH,Consensus_v1,Make,Safety-Stock-Build,ORD-2025-000372,DC-Dubai-UAE,2025-W37,NK-FREE-RN-BLK-9,1294,118,1412,1432,906
Raw-Material,FIRM,SUP-China-SHH,Baseline_v2,Buy,Make-to-Stock,ORD-2025-000373,DC-Tokyo-JP,2025-W16,NK-CORTEZ-PPL-9,1022,3544,4566,4498,3508
Raw-Material,FIRM,SUP-India-CHN,Consensus_v1,Make,Replenishment,ORD-2025-000374,DC-Sao-Paulo-BR,2025-W15,NK-VAPORFLY-BLK-11,468,2539,3007,2874,2044
Semi-Finished,FIRM,SUP-India-CHN,Consensus_v1,Transfer,Make-to-Order,ORD-2025-000375,DC-Shanghai-CN,2025-W47,NK-HUARACHE-OGR-7,142,740,882,890,564
Semi-Finished,FIRM,SUP-Vietnam-HCM,Baseline_v2,Buy,Make-to-Stock,ORD-2025-000376,DC-Tokyo-JP,2025-W44,NK-ZOOM-PEGA-OGR-10,995,2227,3222,3125,1844
Packaging,FIRM,SUP-Indonesia-JKT,Baseline_v1,Buy,Replenishment,ORD-2025-000377,DC-Dubai-UAE,2025-W47,NK-CORTEZ-BLK-8,644,2312,2956,3085,2605
Finished-Goods,FORECAST,SUP-China-SHH,Consensus_v1,Transfer,Make-to-Stock,ORD-2025-000378,DC-Johannesburg-ZA,2025-W32,NK-AIR-FORCE-PPL-9,761,111,872,835,418
Semi-Finished,FORECAST,SUP-India-CHN,OP_Plan_2025,Buy,Safety-Stock-Build,ORD-2025-000379,DC-Dubai-UAE,2025-W18,NK-ALPHAFLY-PPL-9,232,75,307,321,222
Finished-Goods,FIRM,SUP-Cambodia-PNH,Consensus_v1,Transfer,Replenishment,ORD-2025-000380,DC-Sao-Paulo-BR,2025-W26,NK-CORTEZ-PPL-8,552,2047,2599,2672,1744
WIP,FORECAST,SUP-Indonesia-JKT,Consensus_v2,Transfer,Safety-Stock-Build,ORD-2025-000381,DC-Shanghai-CN,2025-W33,NK-VAPORFLY-WHT-11,3246,548,3794,3884,2774
Semi-Finished,FORECAST,SUP-Bangladesh-DAC,Consensus_v2,Make,Safety-Stock-Build,ORD-2025-000382,DC-Johannesburg-ZA,2025-W35,NK-BLAZER-GRY-13,495,45,540,561,408
Finished-Goods,FORECAST,SUP-Vietnam-HCM,Consensus_v1,Transfer,Replenishment,ORD-2025-000383,DC-Laakdal-BE,2025-W23,NK-JORDAN-OGR-9,218,49,267,265,144
WIP,FIRM,SUP-Cambodia-PNH,Consensus_v1,Make,Make-to-Order,ORD-2025-000384,DC-Johannesburg-ZA,2025-W20,NK-KD-RED-7,205,1115,1320,1295,749
Semi-Finished,FIRM,SUP-Vietnam-HCM,Consensus_v2,Buy,Seasonal-Build,ORD-2025-000385,DC-Shanghai-CN,2025-W17,NK-AIR-MAX-GRN-10,1057,2799,3856,3946,2815
Semi-Finished,FORECAST,SUP-China-GZH,Baseline_v2,Transfer,Seasonal-Build,ORD-2025-000386,DC-Laakdal-BE,2025-W33,NK-KD-BLK-7,1344,81,1425,1394,1055
Finished-Goods,FORECAST,SUP-China-SHH,Consensus_v1,Make,Make-to-Stock,ORD-2025-000387,DC-Johannesburg-ZA,2025-W34,NK-BLAZER-PPL-12,1549,145,1694,1718,1024
Raw-Material,FORECAST,SUP-Mexico-MTY,Consensus_v2,Transfer,Make-to-Order,ORD-2025-000388,DC-Memphis-TN,2025-W25,NK-AIR-FORCE-GLD-11,2109,452,2561,2579,1452
Finished-Goods,FORECAST,SUP-China-SHH,Baseline_v2,Buy,Make-to-Stock,ORD-2025-000389,DC-Sao-Paulo-BR,2025-W15,NK-METCON-RED-13,1721,388,2109,2022,1132
Packaging,FORECAST,SUP-India-CHN,OP_Plan_2025,Transfer,Make-to-Order,ORD-2025-000390,DC-Sao-Paulo-BR,2025-W02,NK-HUARACHE-RED-8,3193,715,3908,3720,2060
Finished-Goods,FIRM,SUP-Bangladesh-DAC,OP_Plan_2025,Transfer,Replenishment,ORD-2025-000391,DC-Tokyo-JP,2025-W42,NK-CORTEZ-PPL-10,497,2620,3117,3160,1933
Packaging,FORECAST,SUP-Cambodia-PNH,OP_Plan_2025,Transfer,Seasonal-Build,ORD-2025-000392,DC-Dubai-UAE,2025-W26,NK-ZOOM-PEGA-GRY-11,1448,444,1892,1894,1398
Finished-Goods,FORECAST,SUP-India-CHN,Baseline_v2,Transfer,Safety-Stock-Build,ORD-2025-000393,DC-Memphis-TN,2025-W06,NK-FREE-RN-BLU-12,755,74,829,792,446
Finished-Goods,FIRM,SUP-China-SHH,Baseline_v1,Transfer,Replenishment,ORD-2025-000394,DC-Sao-Paulo-BR,2025-W14,NK-AIR-FORCE-NVY-13,308,867,1175,1163,584
WIP,FORECAST,SUP-Mexico-MTY,Baseline_v2,Transfer,Make-to-Order,ORD-2025-000395,DC-Portland-OR,2025-W45,NK-HUARACHE-GRY-9,2976,180,3156,3283,1948
Finished-Goods,FORECAST,SUP-Cambodia-PNH,Baseline_v1,Make,Replenishment,ORD-2025-000396,DC-Memphis-TN,2025-W51,NK-ZOOM-PEGA-GLD-7,3699,415,4114,3948,3153
WIP,FIRM,SUP-Mexico-MTY,Consensus_v1,Make,Replenishment,ORD-2025-000397,DC-Sao-Paulo-BR,2025-W09,NK-AIR-MAX-BLU-8,544,3505,4049,4232,2603
WIP,FORECAST,SUP-Vietnam-HCM,Consensus_v1,Make,Safety-Stock-Build,ORD-2025-000398,DC-Sao-Paulo-BR,2025-W41,NK-CORTEZ-NVY-7,3192,346,3538,3420,1774
Semi-Finished,FORECAST,SUP-Mexico-MTY,Consensus_v1,Transfer,Replenishment,ORD-2025-000399,DC-Shanghai-CN,2025-W14,NK-AIR-MAX-BLU-10,2815,424,3239,3176,2118
Raw-Material,FORECAST,SUP-Cambodia-PNH,Consensus_v1,Transfer,Make-to-Order,ORD-2025-000400,DC-Shanghai-CN,2025-W08,NK-HUARACHE-PPL-8,3750,362,4112,3963,2830
